title,price,rooms,bathrooms,area_sqm,price_per_sqm,total_rooms,"location_Al 'Awabi, Al Batinah•","location_Al Amarat, Muscat•","location_Al Buraimi, Al Buraimi•","location_Al Bustan, Muscat•","location_Al Duqum, Al Wusta•","location_Al Ghubrah, Muscat•","location_Al Hail, Muscat•","location_Al Khaboura, Al Batinah•","location_Al Khoud, Muscat•","location_Al Khuwair, Muscat•","location_Al Maabilah, Muscat•","location_Al Masn'a, Al Batinah•","location_Al Mawaleh, Muscat•","location_Al Mudaibi, Al Sharqiya•","location_Al Qabil, Al Sharqiya•","location_Al Rusayl, Muscat•","location_Al Rustaq, Al Batinah•","location_Al Seeb, Muscat•","location_Al Sifah, Muscat•","location_Al Sinainah, Al Buraimi•","location_Al Wadi Al Kabir, Muscat•","location_Ansab, Muscat•","location_Azaiba, Muscat•","location_Bahla, Al Dakhiliya•","location_Barka, Al Batinah•","location_Barr Al Jissah, Muscat•","location_Bidbid, Al Dakhiliya•","location_Bidiya, Al Sharqiya•","location_Bosher, Muscat•","location_Darsait, Muscat•","location_Ghala, Muscat•","location_Haima, Al Wusta•","location_Hamra, Al Dakhiliya•","location_Ibra, Al Sharqiya•","location_Ibri, Al Dhahirah•","location_Izki, Al Dakhiliya•","location_Liwa, Al Batinah•","location_Madinat As Sultan Qaboos, Muscat•","location_Mahut, Al Wusta•","location_Masira, Al Sharqiya•","location_Mirbat, Dhofar•","location_Misfah, Muscat•","location_Muqshin, Dhofar•","location_Muscat - Other, Muscat•","location_Muscat Hills, Muscat•","location_Mutrah, Muscat•","location_Nakhl, Al Batinah•","location_Nizwa, Al Dakhiliya•","location_Qantab, Muscat•","location_Qurayyat, Muscat•","location_Qurum, Muscat•","location_Ruwi, Muscat•","location_Sadah, Dhofar•","location_Saham, Al Batinah•","location_Salalah, Dhofar•","location_Sohar, Al Batinah•","location_Sultan Haitham City, Muscat•","location_Sumail, Al Dakhiliya•","location_Sur, Al Sharqiya•","location_Suwaiq, Al Batinah•","location_Taqah, Dhofar•","location_The Wave (Almouj), Muscat•","location_Wadi Al Ma'awal, Al Batinah•","location_Yiti, Muscat•","location_Yunqul, Al Dhahirah•"
2Bedroom Lake View Apartment for Sale in Hawana Salalah,-0.2917759134220313,2.0,2.0,-0.1265654719082962,-0.03434005817212229,-0.6744407713583079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,-0.42611365400658124,1.0,1.0,-0.1571827715758482,0.0026406693790555335,-1.1825494555270064,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,-0.2533937018264456,2.0,2.0,-0.12232615349278901,-0.029163729919017545,-0.6744407713583079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City",0.05366399093823995,4.0,3.0,-0.026234936074625844,-0.06801433277549807,0.0877222548947395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,-0.41106015061879253,1.0,1.0,-0.1515303470218386,-0.016569230422431993,-1.1825494555270064,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,-0.3378345673367341,2.0,2.0,-0.1265654719082962,-0.052760646990067474,-0.6744407713583079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,0.03447288514044711,2.0,3.0,-0.11714476431828022,0.05885934953771938,-0.4203864292739588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah",-0.19582038443306707,2.0,2.0,-0.12468133039029301,-0.0014107797744514722,-0.6744407713583079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة",0.11123730833161849,2.0,3.0,0.2832353082573996,-0.12946658375974324,-0.4203864292739588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,0.015281779342654258,2.0,2.0,-0.12138408273378741,0.06719582103111879,-0.6744407713583079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
