Title,Location,Price,Rooms,Bathrooms,Size
شقة بغرفة وصالة في منتجع سیاحي متکامل قرب البحر بنظام تملک حر,"Qantab, Muscat•","OMR 91,180Freehold",1,2,79 SQM
4 BR + Maid’s Room Spacious Villa in Sultan Haitham City,"Sultan Haitham City, Muscat•","OMR 233,300Freehold",4,5,400 SQM
Large 1 Bedroom FREEHOLD in Muscat hills,"Muscat Hills, Muscat•","OMR 63,210Freehold",1,1,100 SQM
آفخم فیلا منفصلة ب4 غرف نوم وصالة في هوانا صلالة تملک حر إطلالة نهر,"Salalah, Dhofar•","OMR 335,850Freehold",4,5,243 SQM
فیلا منفصلة ب3 غرف نوم وصالة في منتجع هوانا صلالة تملک حر إطلالة نهر,"Salalah, Dhofar•","OMR 256,540Freehold",3,4,181 SQM
فیلا متصلة بغرفتي نوم2 وصالة في منتجع هوانا صلالة تملک حر إطلالة نهر,"Salalah, Dhofar•","OMR 170,650Freehold",2,3,133 SQM
فیلا منفصلة بغرفتي نوم2 وصالة في منتجع هوانا صلالة تملک حر إطلالة نهر,"Salalah, Dhofar•","OMR 200,000Freehold",2,3,141 SQM
شالیه بغرفتي نوم 2 وصالة في منتجع هوانا صلالة تملک حر,"Salalah, Dhofar•","OMR 140,000Freehold",2,3,110 SQM
فیلا راقیة جاهزة ب4 غرف نوم وصالة في طابقین في منتجع شاطئي تملک حر,"Qantab, Muscat•","OMR 583,890Freehold",4,6,422 SQM
2 Bedroom apartment in Muscat Hills ( Freehold ),"Muscat Hills, Muscat•","OMR 75,246Freehold",2,2,104 SQM
Luxury Furnished 1 Bedroom and Saloon Apartment Muscat Hills,"Muscat Hills, Muscat•","OMR 67,200Freehold",1,2,71 SQM
Office 97sqm for sale (25% downpayment) مكتب للبيع,"Bosher, Muscat•","OMR 95,900Non Freehold",97 SQM,N/A,N/A
Office 103sqm for sale (25% downpayment) مكتب للبيع,"Bosher, Muscat•","OMR 101,500Non Freehold",103 SQM,N/A,N/A
شالیه بغرفة نوم وصالة في منتجع هوانا صلالة تملک حر,"Salalah, Dhofar•","OMR 79,000Freehold",1,2,69 SQM
1 BHK Duplex Appartment Muscat Bay | FreeHold دوبلکس تماک حر,"Qantab, Muscat•","OMR 138,000Freehold",1,2,118 SQM
أفخم فیلا جاهزة ب3 غرف نوم وصالة في طابقین في منتجع شاطئي تملک حر,"Qantab, Muscat•","OMR 406,960Freehold",3,5,426 SQM
فیلا رائعة ب3 غرف نوم وصالة في طابقین في منتجع شاطئي تملک حر,"Qantab, Muscat•","OMR 356,040Freehold",3,5,357 SQM
فیلا راقیة قابلة للتقسیط بمسبح وحدیقة خاصة في منتجع قرب البحر تملک حر,"Qantab, Muscat•","OMR 427,400Negotiable",4,6,422 SQM
"Luxury Appartment for Sale in Hawana, Salalah – Oman","Salalah, Dhofar•","OMR 90,000Freehold",2,2,120 SQM
2 Bedroom Freehold Apartment in BLV Muscat Hills,"Muscat Hills, Muscat•","OMR 77,210Freehold",2,3,132 SQM
2 Bedroom and 1 saloon apartment FREEHOLD,"Muscat Hills, Muscat•","OMR 77,802Freehold",2,3,119 SQM
Office 94sqm for sale (25% downpayment) مكتب للبيع,"Bosher, Muscat•","OMR 93,000Non Freehold",94 SQM,N/A,N/A
Jebel Sifah | Best FREEHOLD & INSTALLMENT option to get Residency,"Al Sifah, Muscat•","OMR 44,000Freehold",Studio,1,38 SQM
أرقی شقة دوبلکس ب3 غرف نوم جاهزة قرب البحر تملک حر,"Qantab, Muscat•","OMR 288,115Freehold",3,5,361 SQM
شقة ذکیة بغرفتي نوم 2 وصالة في منتجع جمیل علی البحر تملک حر,"Qantab, Muscat•","OMR 140,375Freehold",2,3,115 SQM
فیلا متمیزة قابلة للتقسیط بمسبح وحدیقة خاصة في منتجع قرب البحر تملک حر,"Qantab, Muscat•","OMR 950,000Negotiable",5,7,750 SQM
بنتهاوس فاخر قابل للتقسیط بمسبح وحدیقة خاصة في منتجع قرب البحر تملک حر,"Qantab, Muscat•","OMR 298,000Negotiable",3,5,355 SQM
1 Bedroom FREEHOLD| Lifetime Residency,"Al Sifah, Muscat•","OMR 57,500Freehold",1,2,54 SQM
اقساط + نقدا: شقة بغرفة نوم واحدة في مدینة الموج للبيع,"The Wave (Almouj), Muscat•","OMR 115,000Freehold",1,2,109 SQM
Office 95sqm for sale (25% downpayment) مكتب للبيع,"Bosher, Muscat•","OMR 94,000Non Freehold",95 SQM,N/A,N/A
Golf View | Amazing Freehold Studio Sifah | ستوديو حر رائع في جبل سيفة,"Al Sifah, Muscat•","OMR 45,024Freehold",Studio,1,38 SQM
مكتب تجاري تمليك حر داخل مسقط | Freehold Commercial Office Muscat,"Al Khoud, Muscat•","OMR 68,750Freehold",55 SQM,N/A,N/A
Freehold Studio in Uptown Muscat | أرخص ستوديو في مسقط,"Al Khoud, Muscat•","OMR 45,761Freehold",1,1,50 SQM
"Luxury 2BHK Appartment for Sale in Hawana, Salalah – Oman","Salalah, Dhofar•","OMR 85,000Negotiable",2,3,120 SQM
شقة متمیزة بغرفة وصالة تملک حر داخل مسقط,"Al Seeb, Muscat•","OMR 68,032Freehold",1,2,96 SQM
FREEHOLD | Studio | Lifetime Residency,"Al Sifah, Muscat•","OMR 44,000Freehold",Studio,1,39 SQM
غرفتان نوم في مسقط هيلز [تملك حر],"Muscat Hills, Muscat•","OMR 92,100Freehold",2,3,126 SQM
Freehold 2 BHK with 15% Downpayment | تملك حر في أب تاون غرفتين Uptown,"Al Khoud, Muscat•","OMR 96,476Freehold",2,2,112 SQM
Branded 2 BHK Apartment in Muscat Hills [ Freehold ],"Muscat Hills, Muscat•","OMR 94,860Freehold",2,3,126 SQM
SR- AH- 158 Twin Villa For Sale In AL Khoudh 4/ توين فيلا للبيع في الخ,"Al Khoud, Muscat•","OMR 175,000Non Freehold",6,7,315 SQM
2 BR Spacious Apartment Located in Qurum,"Qurum, Muscat•","OMR 68,000Non Freehold",2,2,131 SQM
50 SQ M Freehold Office Space For Sale in Al Khoud,"Al Khoud, Muscat•","OMR 50,000Freehold",50 SQM,N/A,N/A
2 BR Fully Furnished Freehold Apartment in Jebel Sifa – Marina View,"Al Sifah, Muscat•","OMR 140,000Freehold",2,2,163.4 SQM
1 BR Serviced Apartment in Muscat Hills – ITC,"Muscat Hills, Muscat•","OMR 105,000Freehold",1,1,71.3 SQM
37 SQ M  Freehold Office Space in Duqm,"Al Duqum, Al Wusta•","OMR 24,800Freehold",37 SQM,N/A,N/A
1 BR Apartment with Omani Residency in Duqm,"Al Duqum, Al Wusta•","OMR 25,000Freehold",1,1,35 SQM
60 SQM Freehold Retail Shops in Muscat Hills for Sale,"Muscat Hills, Muscat•","OMR 78,000Freehold",60 SQM,N/A,N/A
SR- AS- 136 توين فيلا للبيع في المعبيلة الثامنة,"Al Maabilah, Muscat•","OMR 78,000Non Freehold",5,6,300 SQM
SR- HL- 145 Villa for Sale – Al Hail North/فيلا للبيع في الحيل الشمالي,"Al Hail, Muscat•","OMR 80,000Non Freehold",5,5,300 SQM
SR- SH- 138 فيلا للبيع في الحيل الجنوبية,"Al Hail, Muscat•","OMR 190,000Non Freehold",9,9,500 SQM
SR- MH- 137 توين فيلا للبيع في الموالح الشمالية,"Al Mawaleh, Muscat•","OMR 135,000Non Freehold",5,6,300 SQM
"""SR- AS- 129  فيلا للبيع في المعبيلة الرابعة – تصميم عصري وموقع هادئ","Al Maabilah, Muscat•","OMR 72,000Non Freehold",5,5,300 SQM
1 BR + Study Room Freehold Furnished Flat For Sale – Juman 1,"The Wave (Almouj), Muscat•","OMR 145,000Freehold",1,2,105 SQM
205 SQM Spacious Office for Sale – Al Khuwair,"Al Khuwair, Muscat•","OMR 160,000Non Freehold",205 SQM,N/A,N/A
4 + 1 BR Semi Detached Freehold Villas in Haitham City,"Al Maabilah, Muscat•","OMR 175,000Freehold",4,4,333 SQM
"1 Bedroom Luxury Apartment, The Great Escape – AIDA by DarGlobal","Yiti, Muscat•","OMR 88,289Freehold",1,2,66 SQM
1 BR Brand New Freehold Modern Duplex Apartment in Hawana Salalah,"Salalah, Dhofar•","OMR 72,100Freehold",1,1,78 SQM
775 SQM Freehold Offplan Office Space – Muscat Hills,"Muscat Hills, Muscat•","OMR 914,500Freehold",775 SQM,N/A,N/A
4 + 1 BR Twin Villa in Haitham City – Freehold Property,"Al Maabilah, Muscat•","OMR 175,000Freehold",4,4,333 SQM
"1 BR Brilliant Apartment in Havana, Salalah","Salalah, Dhofar•","OMR 47,000Freehold",1,2,64.4 SQM
34.5 SQM New Off plan Shop in Ghala,"Ghala, Muscat•","OMR 29,325Non Freehold",34.5 SQM,N/A,N/A
3 BR + Maid’s Room Freehold Townhouse in Sultan Haitham City – Phase 2,"Al Maabilah, Muscat•","OMR 111,700Freehold",3,3,194.13 SQM
AMAZING DEAL! 4 + 1 Maid’s Room Freehold Villa in Muscat Hills for Sal,"Muscat Hills, Muscat•","OMR 325,000Freehold",4,5,689 SQM
4 BR Duplex Apartment in Al Khoud – Freehold Property with Installmen,"Al Khoud, Muscat•","OMR 236,643Freehold",4,4,333 SQM
Off Plan Freehold Furnished Studio Apartment in Al Khoud,"Al Khoud, Muscat•","OMR 41,000Freehold",Studio,1,56 SQM
1 BR Off-Plan Freehold Apartment in Jebel Sifah,"Al Sifah, Muscat•","OMR 59,494Freehold",1,1,51 SQM
2 BR Serviced Off Plan Freehold Apartments At Muscat Hills Golf Course,"Muscat Hills, Muscat•","OMR 143,976Freehold",2,2,110 SQM
2 + 1 BR Off Plan Freehold Apartment For Sale in Muscat Bay,"Qantab, Muscat•","OMR 133,000Freehold",2,2,133 SQM
فلل سكنيه جديده للبيع في حي  الكوثر,"Al Khoud, Muscat•","OMR 137,000Non Freehold",4,5,420 SQM
2 + 1 BR Ground Floor Freehold Villa with Private Pool in Sifah,"Al Sifah, Muscat•","OMR 170,869Freehold",2,2,157 SQM
2 BR Freehold Apartment for Sale in Al Khoud – Uptown Muscat,"Al Khoud, Muscat•","OMR 73,000Freehold",2,2,100 SQM
5 BR Freehold Golf Course View Villa For Sale – Muscat Hills,"Muscat Hills, Muscat•","OMR 450,000Freehold",5,6,450 SQM
Studio Apartment For Sale in Duqm – For All Nationalities,"Al Duqum, Al Wusta•","OMR 29,000Freehold",1,1,48 SQM
Contemporary 3-Bedroom Townhouse in Murooj Lanes – Al Mouj Muscat,"The Wave (Almouj), Muscat•","OMR 215,000Freehold",3,3,195 SQM
"One-Bedroom Apartment for Sale – Murooj Lanes, Al Mouj Muscat","The Wave (Almouj), Muscat•","OMR 105,000Freehold",1,1,70 SQM
"6 BR Villa for Sale in Al Amerat, Second Heights","Al Amarat, Muscat•","OMR 67,000Non Freehold",6,8,321.26 SQM
2 BR Exceptional Apartment In Yiti – Freehold and Off Plan,"Yiti, Muscat•","OMR 141,780Freehold",2,2,89.31 SQM
1 BR Freehold Off Plan Apartment in Yiti – By Dar Global,"Yiti, Muscat•","OMR 94,570Freehold",1,2,59.36 SQM
6 BR + 1 Maid’s Room Amazing Villa for Sale in Mawaleh,"Al Mawaleh, Muscat•","OMR 146,000Non Freehold",6,6,600 SQM
2 + 1 BR Fully Furnished Apartment in Bausher,"Bosher, Muscat•","OMR 54,000Non Freehold",2,2,109 SQM
3 BR Stunning Freehold Townhouse with Sea View – AIDA Darglobal,"Qantab, Muscat•","OMR 169,500Freehold",3,3,125 SQM
6 + 1 BR Incredible Villa in Mawaleh for Sale,"Al Mawaleh, Muscat•","OMR 180,000Non Freehold",6,6,600 SQM
30 BR Commercial Use Villa for Sale– Mawaleh,"Al Mawaleh, Muscat•","OMR 625,000Non Freehold",12,12,990 SQM
2 + 1 BR Ground Floor Off Plan Freehold Villa with Pool in Sifah,"Al Sifah, Muscat•","OMR 197,736Freehold",2,2,100 SQM
1 BR Apartment in Muscat Bay – Offplan and Freehold,"Qantab, Muscat•","OMR 89,500Freehold",1,1,82 SQM
3 + 1 BR Freehold Townhouse with Partial Sea View in Yiti – Aida,"Yiti, Muscat•","OMR 269,290Freehold",3,3,204 SQM
3 BR Marina View Freehold Apartment in Al Mouj For Sale,"The Wave (Almouj), Muscat•","OMR 250,000Freehold",3,3,150 SQM
2 BR Sea View Flat in Al Mouj For Sale,"The Wave (Almouj), Muscat•","OMR 145,000Freehold",2,2,127 SQM
Great Investment Opportunity! Freehold Office Space For Sale in Duqm,"Al Duqum, Al Wusta•","OMR 38,500Freehold",59 SQM,N/A,N/A
2 BR Freehold Modern Flat For Sale – Muscat Hills,"Muscat Hills, Muscat•","OMR 83,461Freehold",2,3,132 SQM
1 BR Freehold Large Flat in Muscat Hills – BLV Tower,"Muscat Hills, Muscat•","OMR 66,147Freehold",1,1,100 SQM
3 BR Compact Furnished Flat in Mawaleh,"Al Mawaleh, Muscat•","OMR 130,000Non Freehold",3,3,566 SQM
33 SQM Leasehold Studio Apartment in Salalah – Taqah Blue Beach,"Salalah, Dhofar•","OMR 55,000Freehold",Studio,1,33 SQM
1 BR Stunning Leasehold Duplex Apartment –Salalah Taqah Long beach,"Salalah, Dhofar•","OMR 95,000Freehold",1,2,76 SQM
5 BR + Maid's Room Freehold Modern Villa in Sultan Haitham City,"Al Maabilah, Muscat•","OMR 149,695Freehold",5,6,249 SQM
1 BR Freehold Stunning Apartment in Sultan Haitham City,"Al Maabilah, Muscat•","OMR 46,150Freehold",1,1,71 SQM
6 BR Commercial Villa - Mawaleh,"Al Mawaleh, Muscat•","OMR 320,000Non Freehold",776 SQM,N/A,N/A
67 SQM Commercial Shop - Maysan Square Duqm,"Al Duqum, Al Wusta•","OMR 33,500Freehold",67 SQM,N/A,N/A
126 SQM Freehold Ground Floor Shop – Muscat Hills Business Tower 2,"Muscat Hills, Muscat•","OMR 201,600Freehold",126 SQM,N/A,N/A
5 + 1 BR Freehold Furnished Penthouse Apartment – Sultan Haitham City,"Al Maabilah, Muscat•","OMR 455,015Freehold",5,4,987 SQM
3 BR + Maid’s Room Stunning Townhouse in Sultan Haitham City,"Al Maabilah, Muscat•","OMR 132,300Freehold",3,4,210 SQM
37 SQ M Freehold Office Space in Duqm,"Al Duqum, Al Wusta•","OMR 24,800Freehold",37 SQM,N/A,N/A
1 BR Furnished Incredible Apartment with balcony – Marriott Residences,"Yiti, Muscat•","OMR 122,540Freehold",1,2,66.83 SQM
3 BR + Maid’s Room Stunning Villa – Muscat Bay with Swimming Pool,"Qantab, Muscat•","OMR 330,750Freehold",3,3,495 SQM
2 BR + Maid’s room Freehold Offplan Apartment in Sohar,"Sohar, Al Batinah•","OMR 55,319Freehold",2,3,116.46 SQM
1 BR Complex Apartment in Al Khuwair,"Al Khuwair, Muscat•","OMR 45,900Non Freehold",1,2,86 SQM
3 BR + Maid’s Room Freehold Off-Plan Townhouse in Sultan Haitham City,"Al Maabilah, Muscat•","OMR 121,200Freehold",3,3,205.34 SQM
3 + 1 BR Duplex Apartment in Sultan Haitham City – Freehold Property,"Al Maabilah, Muscat•","OMR 95,840Freehold",3,3,138 SQM
1 BR Apartment In Sultan Haitham City – Freehold,"Al Maabilah, Muscat•","OMR 48,600Freehold",1,1,70 SQM
DEAL ALERT!  4 BR + Maid’s Room Brand New Villa in Al-Bustan for Sale,"Al Bustan, Muscat•","OMR 83,000Non Freehold",4,5,236 SQM
4 + 1 BR Brand New Freehold Townhouse with Rooftop Pool - Muscat Hill,"Muscat Hills, Muscat•","OMR 241,000Freehold",4,5,338.7 SQM
1 BR Freehold Flat in Boulevard Tower For Sale,"Muscat Hills, Muscat•","OMR 63,281Freehold",1,2,70 SQM
فرصة استثمارية نادرة أرض سكنية تجارية كبيرة على شارع الخدمة في الحيل,"Al Hail, Muscat•",OMR 350,"17,888 SQM",N/A,N/A
أرض سكنية تجارية أول خط على شارع السلطان قابوس – الحيل الشمالية,"Al Hail, Muscat•","OMR 550,000","1,295 SQM",N/A,N/A
للبيع – أرض سكنية تجارية في الخوض المرحلة الخامسة بموقع مميز,"Al Khoud, Muscat•","OMR 200,000",584 SQM,N/A,N/A
For Sale: Modern Villa in Al Mouj Muscat,"The Wave (Almouj), Muscat•","OMR 295,000Freehold",3,4,265 SQM
أرض سكني تجاري كبيرة في الخوض السابعة – أكثر من 100 ألف م²,"Al Khoud, Muscat•","OMR 2,500,000","1,026,669 SQM",N/A,N/A
فرصة استثمارية – أرض سكنية تجارية كورنر في سور آل حديد قرب البحر,"Al Seeb, Muscat•","OMR 160,000",954 SQM,N/A,N/A
أرض سكنية تجارية بموقع حيوي قرب العريمي بوليفارد – الخوض,"Al Khoud, Muscat•","OMR 380,000","1,500 SQM",N/A,N/A
Reduced Price!! 1BHK Apartment for Sale in Muscat Hills FSA39,"Muscat Hills, Muscat•","OMR 60,000Freehold",1,2,71 SQM
Free Hold!! Own your apartment in Al Khoud - Uptown Muscat!!,"Al Khoud, Muscat•","OMR 50,000Freehold",1,2,65 SQM
للبيع: محل جديد في مشروع جديد - مسار بركاء FSC13,"Barka, Al Batinah•","OMR 38,000Non Freehold",29 SQM,N/A,N/A
Reduced Price!! 2BHK in The Great Escape in AIDA with Sea View FSA69,"Yiti, Muscat•","OMR 135,000Freehold",2,3,93 SQM
Free Hold!! Amazing 4BHK Villa For Sale in Muscat Hills FSV100,"Muscat Hills, Muscat•","OMR 310,000Freehold",4,6,450 SQM
2+1 BHK Apartment with Sea View for Sale – Muscat Bay FSA65,"Barr Al Jissah, Muscat•","OMR 210,000Freehold",3,4,200 SQM
"Magnificent 4+1 BHK Villa, Available For Sale FSV25","Muscat Hills, Muscat•","OMR 210,000Freehold",4,6,400 SQM
FREE HOLD!! Exceptional 2+1 BHK Apartment for Sale in Muscat Bay FSA64,"Barr Al Jissah, Muscat•","OMR 170,000Freehold",2,3,199 SQM
"1BHK Apartment FOR SALE in The BLV Tower, Muscat Hills FSA58","Muscat Hills, Muscat•","OMR 73,000Negotiable",2,2,105 SQM
Elegant Front View 2BHK  For Sale in Muscat Hills FSA34,"Muscat Hills, Muscat•","OMR 78,000Freehold",2,3,110 SQM
"Modern 2BHK Apartment for Sale in Al Mouj, Meria East FSA37","The Wave (Almouj), Muscat•","OMR 125,000Freehold",2,2,130 SQM
Sea View | Big Luxurious 2BR | 20/80 Payment Plan | The Great Escape 2,"Yiti, Muscat•","OMR 149,500Freehold",2,2,103.5 SQM
Sea View | Highest Floor | Big Layout | 20/80 Payment Plan,"Yiti, Muscat•","OMR 156,570Freehold",2,2,90.62 SQM
Dazzling Sea View | Highest Floor | Spacious Layout | Payment Plan,"Yiti, Muscat•","OMR 156,640Freehold",2,2,90.66 SQM
Sea/Golf View | Easy Payment Plan | AIDA The Great Escape 2,"Yiti, Muscat•","OMR 136,660Freehold",2,2,88.74 SQM
20/80 Payment Plan | Superb Sea View | The Great Escape 2,"Yiti, Muscat•","OMR 135,120Freehold",2,2,89.35 SQM
Sea/ Golf View | Spacious Luxury Layout | Flexible Payment Plan,"Yiti, Muscat•","OMR 161,270Freehold",2,2,109.13 SQM
Sea View | 20/80 Payment Plan | The Great Escape 2,"Yiti, Muscat•","OMR 135,070Freehold",2,2,89.32 SQM
Sea View | Payment Plan | AIDA The Great Escape 2,"Yiti, Muscat•","OMR 131,960Freehold",2,2,87.97 SQM
Easy Payment Plan | Sea View | AIDA The Great Escape 2,"Yiti, Muscat•","OMR 131,870Freehold",2,2,87.91 SQM
Spacious Layout | Golf View | 20/80 Payment Plan | The Great Escape 2,"Yiti, Muscat•","OMR 114,660Freehold",1,2,75.88 SQM
Big Luxury Layout| | Pool/Golf View | AIDA The Great Escape 2,"Yiti, Muscat•","OMR 104,660Freehold",1,2,72.46 SQM
Hot Deal | 20/80 Payment Plan | Pool and Golf Course View,"Yiti, Muscat•","OMR 79,060Freehold",1,2,49.55 SQM
Pool View | Private Garden Terrace | Flexible 30/70 Payment Plan,"Yiti, Muscat•","OMR 78,900Freehold",Studio,1,52.39 SQM
Beachfront Living | Payment Plan | The Residences at Mandarin Oriental,"Muscat - Other, Muscat•","OMR 169,982Freehold",1,2,76.45 SQM
Beachfront Living | Payment Plan | The Residences at Mandarin Oriental,"Muscat - Other, Muscat•","OMR 323,282Freehold",2,3,135.46 SQM
Beachfront Spacious 2BHK Apartment For Sale in Mandarin Oriental,"Muscat - Other, Muscat•","OMR 292,832Freehold",2,3,132 SQM
Beachfront 3BHK+Maids For Sale in The Residence Mandarin Oriental,"Muscat - Other, Muscat•","OMR 508,082Freehold",3,4,184.22 SQM
Luxury Beachfront Living  | Spacious Layout | Flexible Payment Plan,"Muscat - Other, Muscat•","OMR 169,982.4Freehold",1,2,76.45 SQM
20/80 Payment Plan | Fabulous Sea View | Spacious 2BR Layout,"Yiti, Muscat•","OMR 149,630Freehold",2,2,103.59 SQM
Sea and Golf View | Spacious 2BHK for Sale in The Great Escape 2,"Yiti, Muscat•","OMR 141,780Freehold",2,2,92.8 SQM
Sea View | Spacious Layout | Flexible Payment Plan | AIDA,"Yiti, Muscat•","OMR 151,160Freehold",2,2,104.65 SQM
2 BHK Apartment For Sale in AIDA The Great Escape2 | Sea and Golf View,"Yiti, Muscat•","OMR 161,270Freehold",2,2,109.13 SQM
Luxurious 2 BHK Apartment For Sale in The Great Escape 2 with Sea View,"Yiti, Muscat•","OMR 198,930Freehold",2,2,114.77 SQM
Biggest Layout | Pool /Golf View | 20/80 Payment Plan | AIDA,"Yiti, Muscat•","OMR 127,600Freehold",1,2,91.14 SQM
15% Down Payment | Attractive Payment Plan | Uptown Muscat,"Muscat - Other, Muscat•","OMR 52,241Freehold",1,1,60 SQM
Mountains and Wadi Views | High Floor | Balcony | 30/70 Payment Plan,"Yiti, Muscat•","OMR 76,550Freehold",Studio,1,54.69 SQM
FREE HOLD!! 1BR Apartment in Al Mouj Golf Links w/ payment plan FSA72,"The Wave (Almouj), Muscat•","OMR 98,000Freehold",1,2,84 SQM
Free Hold!! Brand New Fully Furnished 2BHK Penthouse in Muscat Hills,"Muscat Hills, Muscat•","OMR 92,000Freehold",2,3,117 SQM
FSB06 مبنى سكني تجاري رئيسي للبيع في العامرات - طريق الجبل,"Al Amarat, Muscat•","OMR 510,000Non Freehold",600 SQM,N/A,N/A
"Freehold 2 Bed Fully Furnished Apt. in Al Mouj, Ready & Installments","The Wave (Almouj), Muscat•","OMR 137,000Freehold",2,2,126 SQM
4+1BHK Amazing Villa with Private Pool For Sale in Al Mouj FSV69,"The Wave (Almouj), Muscat•","OMR 380,000Freehold",5,6,383 SQM
FSB07 مبنى سكني تجاري رئيسي للبيع في العامرات خلف مركز الجملة,"Al Amarat, Muscat•","OMR 410,000Non Freehold",400 SQM,N/A,N/A
Freehold & Lifetime Residency Oman | Stunning Corner 2BHK Apt. FSA54,"Muscat Hills, Muscat•","OMR 78,000Freehold",2,3,118 SQM
Freehold & Lifetime Residency | Modern 1BHK with Pool View FSA38,"Muscat Hills, Muscat•","OMR 65,000Freehold",1,2,71 SQM
"FREEHOLD | Ready to Move, Modern 1BHK in Muscat Hills FSA59","Muscat Hills, Muscat•","OMR 63,500Freehold",1,1,100 SQM
"Freehold Studio with Lifetime Residency, Live & Own in Oman FSA84","Muscat - Other, Muscat•","OMR 72,600Freehold",Studio,1,60 SQM
54 SQM Office for Sale in Muscat Hills,"Muscat Hills, Muscat•","OMR 57,000Freehold",54 SQM,N/A,N/A
FOR SALE: Freehold 1-Bedroom Marina View Apartment!,"The Wave (Almouj), Muscat•","OMR 168,500Freehold",1,2,91 SQM
Luxury 1 BHK Apartment with Balcony For Sale in Sustainable City Yiti,"Yiti, Muscat•","OMR 88,457Freehold",1,2,79.75 SQM
Flexible Payment Plan | Spacious 1 BR | Sustainable City Yiti,"Yiti, Muscat•","OMR 91,004Freehold",1,2,80.6 SQM
Dazzling View | High Floor | Sustainable City Yiti,"Yiti, Muscat•","OMR 90,195Freehold",1,2,79.79 SQM
Luxurious Layout | Payment Plan | Sustainable City Yiti,"Yiti, Muscat•","OMR 90,101Freehold",1,2,79.8 SQM
30/70 Payment Plan | Full Facilities | Sustainable City Yiti,"Yiti, Muscat•","OMR 88,318Freehold",1,2,78.87 SQM
Luxury Urban Living| Easy Payment Plan| Sustainable City Yiti,"Yiti, Muscat•","OMR 89,451Freehold",1,2,83.03 SQM
Pool/Golf View | Spacious Layout | Flexible Payment Plan,"Yiti, Muscat•","OMR 102,000Freehold",1,2,63.93 SQM
Pool/Golf View | Spacious Layout | 20/80 Payment Plan | AIDA,"Yiti, Muscat•","OMR 100,360Freehold",1,2,69.48 SQM
Dazzling Golf View | Highest Floor | 20/80 Payment Plan,"Yiti, Muscat•","OMR 99,730Freehold",1,2,57.91 SQM
Pool /Golf View |  Luxurious Layout|  Flexible Payment Plan,"Yiti, Muscat•","OMR 94,300Freehold",1,2,59.67 SQM
Stunning Sea and Golf View | Highest Floor | 20/80 Payment Plan,"Yiti, Muscat•","OMR 198,930Freehold",2,2,114.77 SQM
Spacious Layout | Easy Payment Plan | Sustainable City Yiti,"Yiti, Muscat•","OMR 96,391Freehold",1,2,83.03 SQM
Luxury 1 BR | Attractive Payment Plan | Sustainable City Yiti,"Yiti, Muscat•","OMR 94,196Freehold",1,2,82.65 SQM
30/70 Payment Plan | Luxury Living in Sustainable City Yiti,"Yiti, Muscat•","OMR 92,095Freehold",1,2,83.03 SQM
Modern Luxury Layout | Scenic Balcony | Sustainable City Yiti,"Yiti, Muscat•","OMR 89,355Freehold",1,2,80.56 SQM
Sustainable City Yiti | Flexible Payment Plan | Luxury Living,"Yiti, Muscat•","OMR 89,876Freehold",1,2,78.86 SQM
SR- SA- 152 Villa for sale in Al ansab / فيلا للبيع في الانصب .,"Ansab, Muscat•","OMR 153,000Non Freehold",5,5,234 SQM
أرض سكنية وسطية للبيع في العامرات – مدينة النهضة,"Al Amarat, Muscat•","OMR 11,000",600 SQM,N/A,N/A
للبيع أرض سكنية مميزة – المعبيلة الجنوبية، ولاية السيب,"Al Maabilah, Muscat•","OMR 61,000",600 SQM,N/A,N/A
Modern 1-Bedroom Apartment for Sale – Al Mouj Juman 1,"The Wave (Almouj), Muscat•","OMR 105,000Freehold",1,1,88 SQM
30/70 Payment Plan | Spacious Unit | Sustainable City Yiti,"Yiti, Muscat•","OMR 91,214Freehold",1,2,83.03 SQM
Stunning Ocean Views | Payment Plan | AIDA Sunrise Haven,"Yiti, Muscat•","OMR 277,660Freehold",3,4,158.86 SQM
Fully Furnished Villa in AIDA Sunrise Haven | Payment Plan,"Yiti, Muscat•","OMR 269,290Freehold",3,4,158.86 SQM
3 Years Payment Plan | Fully Furnished | AIDA Sunrise Haven,"Yiti, Muscat•","OMR 265,030Freehold",3,4,158.86 SQM
Spacious Deattached Villa | Easy Payment Plan | AIDA OCEANA,"Yiti, Muscat•","OMR 668,250Freehold",5,6,386.2 SQM
Opulent Deattached Villa | Payment Plan | AIDA OCEANA,"Yiti, Muscat•","OMR 537,560Freehold",4,5,315.68 SQM
Luxurious Attached Villa | Payment Plan | AIDA OCEANA,"Yiti, Muscat•","OMR 258,316Freehold",3,4,228.9 SQM
Luxury Layout | 2 Balconies | 20/80 Payment Plan | Wadi Zaha,"Al Seeb, Muscat•","OMR 87,348Freehold",2,3,109 SQM
Luxury Studio Apartment for sale in Wadi Zaha with Easy Payment Plan,"Al Seeb, Muscat•","OMR 42,828Freehold",Studio,1,53 SQM
30/70 Payment Plan | Amazing Amenities | Sustainable City Yiti,"Yiti, Muscat•","OMR 87,656Freehold",1,2,80.57 SQM
15% Down Payment| 30/ 70 Payment Plan| Sustainable City Yiti,"Yiti, Muscat•","OMR 89,400Freehold",1,2,80.6 SQM
30/70 Payment Plan | Luxurious Layout | Sustainable City Yiti,"Yiti, Muscat•","OMR 86,790Freehold",1,2,80.56 SQM
