Title,Location,Price,Rooms,Bathrooms,Size
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,"The Wave (Almouj), Muscat•","OMR 240,000Freehold",3,3,195 SQM
Apartment for sale with 3 bedrooms- شقة للبيع بثلاث غرف,"Yiti, Muscat•","OMR 220,000Negotiable",3,4,164 SQM
Apartment for sale with 2-Bedrooms شقة للبيع بغرفتين,"Yiti, Muscat•","OMR 132,000Negotiable",2,3,122 SQM
Villa in Muscat for Sale فيلا للبيع في مسقط,"Yiti, Muscat•","OMR 468,000Negotiable",4,6,459 SQM
Villa with 4 Bedrooms for Sale- فيلا بأربع غرف للبيع,"Yiti, Muscat•","OMR 517,000Negotiable",4,5,560 SQM
Villa for Sale in Muscat- فيلا للبيع في مسقط,"Yiti, Muscat•","OMR 474,000Negotiable",4,5,500.85 SQM
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,"Al Sifah, Muscat•","OMR 170,000Freehold",2,3,140 SQM
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah","Al Sifah, Muscat•","OMR 110,000Freehold",2,2,124 SQM
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة","Al Sifah, Muscat•","OMR 190,000Freehold",2,3,990 SQM
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,"Salalah, Dhofar•","OMR 165,000Freehold",2,2,131 SQM
2Bedroom Duplex Villa For Sale – Hawana Salalah,"Salalah, Dhofar•","OMR 135,000Freehold",2,2,124 SQM
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,"Al Sifah, Muscat•","OMR 335,000Freehold",4,4,344 SQM
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,"Salalah, Dhofar•","OMR 160,000Freehold",2,2,131 SQM
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,"Sultan Haitham City, Muscat•","OMR 111,700Freehold",3,3,194 SQM
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,"Al Sifah, Muscat•","OMR 265,000Freehold",2,2,129 SQM
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,"The Wave (Almouj), Muscat•","OMR 240,000Freehold",3,3,195 SQM
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,"The Wave (Almouj), Muscat•","OMR 714,000Freehold",5,6,455 SQM
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,"Al Amarat, Muscat•","OMR 82,000Non Freehold",6,7,338 SQM
تملك شقتك الدوبلكيس من طابقين ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•","OMR 49,500Non Freehold",2,3,105 SQM
تملك شقتك الفندقيه ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•","OMR 29,500Non Freehold",1,2,60 SQM
Own Your Shop with Residential Visa in installments over 8 years,"Muscat Hills, Muscat•","OMR 39,750Freehold",15 SQM,N/A,N/A
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,"The Wave (Almouj), Muscat•","OMR 714,000Freehold",5,6,455 SQM
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,"Al Amarat, Muscat•","OMR 82,000Non Freehold",6,7,338 SQM
تملك شقتك الدوبلكيس من طابقين ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•","OMR 49,500Non Freehold",2,3,105 SQM
تملك شقتك الفندقيه ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•","OMR 29,500Non Freehold",1,2,60 SQM
Own Your Shop with Residential Visa in installments over 8 years,"Muscat Hills, Muscat•","OMR 39,750Freehold",15 SQM,N/A,N/A
تملك محلك ف أول مول ف مسقط هيلز وبالاقساط علي 100 شهر بدون فوائد,"Muscat Hills, Muscat•","OMR 39,750Freehold",15 SQM,N/A,N/A
فيلا للبيع في الوادي الكبير مع الأثاث,"Al Wadi Al Kabir, Muscat•","OMR 165,000Negotiable",9,6,601 SQM
محلات للبيع في الخوض مكان جميل جدا و ممتاز,"Al Khoud, Muscat•","OMR 40,000Non Freehold",26 SQM,N/A,N/A
فيلا للبيع في موقع مميز في المعبيله,"Al Maabilah, Muscat•","OMR 79,000Non Freehold",3,5,600 SQM
Twin villa in Athiba for sale / توين فيلا للبيع في العذيبه,"Azaiba, Muscat•","OMR 168,000Non Freehold",7,6,700 SQM
Villa for sale in Hail north فيلا للبيع في الحيل الشماليه,"Al Hail, Muscat•","OMR 110,000Negotiable",6,4,623 SQM
توين فيلا جميلة للبيع في المسفاة,"Misfah, Muscat•","OMR 90,000Negotiable",5,7,312 SQM
BRAND NEW 2 BHK PENTHOUSE FOR SALE !!,"Ghala, Muscat•","OMR 55,000Non Freehold",2,3,103 SQM
(freehold) 1bhk for sale in muscat hails,"Muscat Hills, Muscat•","OMR 66,000Freehold",1,2,74 SQM
للبيع ارض سكني تجاري بركاء (خرائط بناء مخزن معتمده),"Barka, Al Batinah•","OMR 28,000",300 SQM,N/A,N/A
للبيع بناية في دارسيت مؤجره بالكامل,"Darsait, Muscat•","OMR 185,000Non Freehold",586 SQM,N/A,N/A
شقق راقية للبيع في ولاية العامرات (بناية الميرا),"Al Amarat, Muscat•","OMR 28,000Non Freehold",2,2,95 SQM
للبيع ارض في المنى اول خط من الشارع الرئيسي جنب مسجد عبدالملك,"Bosher, Muscat•","OMR 115,000",415 SQM,N/A,N/A
Buying a villa with 10% down payment for 4 bedrooms,"Yiti, Muscat•","OMR 277,000Freehold",4,6,285 SQM
Modern Apartment for Sale in Muscat | شقة حديثة للبيع في مسقط,"Yiti, Muscat•","OMR 127,900Freehold",2,3,120 SQM
Amazing 1 BHK Apartment in Uptown |شقة غرفة وصالة في أب تاون ّFreeHold,"Al Khoud, Muscat•","OMR 59,016Freehold",1,2,83 SQM
Exclusive 2 BHK Marina View | شقة راقية في يتي - Sustainable City Yiti,"Yiti, Muscat•","OMR 166,570Freehold",2,3,121 SQM
1 BHK FreeHold Appartment uptow 15% down payment 44 Month Installment,"Al Seeb, Muscat•","OMR 72,223Freehold",1,1,102 SQM
شقة دوبلكس جديدة كليًا في العذيبة – موقع مميز  FSA83,"Azaiba, Muscat•","OMR 58,000Non Freehold",2,3,103 SQM
FREE HOLD!! Own your Town House at Wadi Zaha in Sultan Haitham City,"Sultan Haitham City, Muscat•","OMR 176,000Freehold",3,5,220 SQM
Golf View | Pool View 1 BHK Aida Greate Escape2 | 40 Month Installment,"Yiti, Muscat•","OMR 89,898Freehold",1,2,56 SQM
